code,country,region,population,area,pop_density,coastline,net_migration,infant_mortality,gdp,literacy,phones,arable,crops,other,climate,birthrate,deathrate,agriculture,industry,service,latitude,longitude
CHL,Chile,LATINAMER.&CARIB,16134219,756950,"21,3","0,85",0,"8,8",9900,"96,2",213,"2,65","0,42","96,93",3,"15,23","5,81","0,06",493,447,"-35,675147","-71,542969"
CHN,China,ASIA(EX.NEAREAST),1313973713,9596960,"136,9","0,15","-0,4","24,18",5000,"90,9","266,7","15,4","1,25","83,35","1,5","13,25","6,97",125,473,403,"35,86166","104,195397"
COL,Colombia,LATINAMER.&CARIB,43593035,1138910,"38,3","0,28","-0,31","20,97",6300,"92,5","176,2","2,42","1,67","95,91",2,"20,48","5,58",125,342,533,"4,570868","-74,297333"
COM,Comoros,SUB-SAHARANAFRICA,690948,2170,"318,4","15,67",0,"74,93",700,"56,5","24,5","35,87","23,32","40,81",2,"36,93","8,2","0,4","0,04","0,56","-11,875001","43,872219"
COG,"Congo,Dem.Rep.",SUB-SAHARANAFRICA,62660551,2345410,"26,7",0,0,"94,69",700,"65,5","0,2","2,96","0,52","96,52",2,"43,69","13,27","0,55","0,11","0,34","-4,038333","21,758664"
COD,"Congo,Repub.ofthe",SUB-SAHARANAFRICA,3702314,342000,"10,8","0,05","-0,17","93,86",700,"83,8","3,7","0,51","0,13","99,36",2,"42,57","12,93",62,"0,57",369,"-0,228021","15,827659"
COK,CookIslands,OCEANIA,21388,240,"89,1",50,,,5000,95,"289,9","17,39","13,04","69,57",2,21,,151,96,753,"-21,236736","-159,777671"
CRI,CostaRica,LATINAMER.&CARIB,4075261,51100,"79,8","2,52","0,51","9,95",9100,96,"340,7","4,41","5,88","89,71",2,"18,32","4,36",88,299,614,"9,748917","-83,753428"
CIV,Coted'Ivoire,SUB-SAHARANAFRICA,17654843,322460,"54,8","0,16","-0,07","90,83",1400,"50,9","14,6","9,75","13,84","76,41",2,"35,11","14,84",279,171,"0,55","7,539989","-5,54708"
HRV,Croatia,EASTERNEUROPE,4494749,56542,"79,5","10,32","1,58","6,84",10600,"98,5","420,4","26,09","2,27","71,65",,"9,61","11,48","0,07",308,622,"45,1","15,2"
CUB,Cuba,LATINAMER.&CARIB,11382820,110860,"102,7","3,37","-1,58","6,33",2900,97,"74,7","33,05","7,6","59,35",2,"11,89","7,22",55,261,684,"21,521757","-77,781167"
CYP,Cyprus,NEAREAST,784301,9250,"84,8","7,01","0,43","7,18",19200,"97,6",,"7,79","4,44","87,77",3,"12,56","7,68",37,198,765,"35,126413","33,429859"
CZE,CzechRepublic,EASTERNEUROPE,10235455,78866,"129,8",0,"0,97","3,93",15700,"99,9","314,3","39,8","3,05","57,15",3,"9,02","10,59",34,393,573,"49,817492","15,472962"
DNK,Denmark,WESTERNEUROPE,5450661,43094,"126,5","16,97","2,48","4,56",31100,100,"614,6","54,02","0,19","45,79",3,"11,13","10,36",18,246,735,"56,26392","9,501785"
DJI,Djibouti,SUB-SAHARANAFRICA,486530,23000,"21,2","1,37",0,"104,13",1300,"67,9","22,8","0,04",0,"99,96",1,"39,53","19,31",179,225,596,"11,825138","42,590275"
DMA,Dominica,LATINAMER.&CARIB,68910,754,"91,4","19,63","-13,87","14,15",5400,94,"304,8","6,67",20,"73,33",2,"15,27","6,73",177,328,495,"15,414999","-61,370976"
DOM,DominicanRepublic,LATINAMER.&CARIB,9183984,48730,"188,5","2,64","-3,22","32,38",6000,"84,7","97,4","22,65","10,33","67,02",2,"23,22","5,73",112,306,582,"18,735693","-70,162651"
TLS,EastTimor,ASIA(EX.NEAREAST),1062777,15007,"70,8","4,7",0,"47,41",500,"58,6",,"4,71","0,67","94,62",2,"26,99","6,24",85,231,684,"-8,874217","125,727539"
ECU,Ecuador,LATINAMER.&CARIB,13547510,283560,"47,8","0,79","-8,58","23,66",3300,"92,5","125,6","5,85","4,93","89,22",2,"22,29","4,23","0,07",312,618,"-1,831239","-78,183406"
EGY,Egypt,NORTHERNAFRICA,78887007,1001450,"78,8","0,24","-0,22","32,59",4000,"57,7","131,8","2,87","0,48","96,65",1,"22,94","5,23",149,357,493,"26,820553","30,802498"
SLV,ElSalvador,LATINAMER.&CARIB,6822378,21040,"324,3","1,46","-3,74","25,1",4800,"80,2","142,4","31,85","12,07","56,08",2,"26,61","5,78",99,302,599,"13,794185","-88,89653"
GNQ,EquatorialGuinea,SUB-SAHARANAFRICA,540109,28051,"19,3","1,06",0,"85,13",2700,"85,7","18,5","4,63","3,57","91,8",2,"35,59","15,06","0,03",906,62,"1,650801","10,267895"
ERI,Eritrea,SUB-SAHARANAFRICA,4786994,121320,"39,5","1,84",0,"74,87",700,"58,6","7,9","4,95","0,03","95,02","1,5","34,33","9,6",102,254,643,"15,179384","39,782334"
EST,Estonia,BALTICS,1324333,45226,"29,3","8,39","-3,16","7,87",12300,"99,8","333,8","16,04","0,45","83,51",3,"10,04","13,25","0,04",294,666,"58,595272","25,013607"
ETH,Ethiopia,SUB-SAHARANAFRICA,74777981,1127127,"66,3",0,0,"95,32",700,"42,7","8,2","10,71","0,75","88,54",2,"37,98","14,86",475,99,426,"9,145","40,489673"
FRO,FaroeIslands,WESTERNEUROPE,47246,1399,"33,8","79,84","1,41","6,24",22000,,"503,8","2,14",0,"97,86",,"14,05","8,7","0,27","0,11","0,62","61,892635","-6,911806"
FJI,Fiji,OCEANIA,905949,18270,"49,6","6,18","-3,14","12,62",5800,"93,7","112,6","10,95","4,65","84,4",2,"22,55","5,65",89,135,776,"-16,578193","179,414413"
FIN,Finland,WESTERNEUROPE,5231372,338145,"15,5","0,37","0,95","3,57",27400,100,"405,3","7,19","0,03","92,78",3,"10,45","9,86",28,295,676,"61,92411","25,748151"
FRA,France,WESTERNEUROPE,60876136,547030,"111,3","0,63","0,66","4,26",27600,99,"586,4","33,53","2,07","64,4",4,"11,99","9,14",22,214,764,"46,227638","2,213749"
GUF,FrenchGuiana,LATINAMER.&CARIB,199509,91000,"2,2","0,42","6,27","12,07",8300,83,"255,6","0,14","0,05","99,81",2,"20,46","4,88",66,156,778,"3,933889","-53,125782"
PYF,FrenchPolynesia,OCEANIA,274578,4167,"65,9","60,6","2,94","8,44",17500,98,"194,5","0,82","5,46","93,72",2,"16,68","4,69",31,"0,19",769,"-17,679742","-149,406843"
GAB,Gabon,SUB-SAHARANAFRICA,1424906,267667,"5,3","0,33",0,"53,64",5500,"63,2","27,4","1,26","0,66","98,08",2,"36,16","12,25",61,592,348,"-0,803689","11,609444"
GMB,"Gambia,The",SUB-SAHARANAFRICA,1641564,11300,"145,3","0,71","1,57","72,02",1700,"40,1","26,8",25,"0,5","74,5",2,"39,37","12,25",308,142,549,"13,443182","-15,310139"
,GazaStrip,NEAREAST,1428757,360,"3968,8","11,11","1,6","22,93",600,,"244,3","28,95","21,05",50,3,"39,45","3,8","0,03",283,687,"31,354676","34,308825"
GEO,Georgia,C.W.OFIND.STATES,4661473,69700,"66,9","0,44","-4,7","18,59",2500,99,"146,6","11,44","3,86","84,7",3,"10,41","9,23",172,275,553,"42,315407","43,356892"
DEU,Germany,WESTERNEUROPE,82422299,357021,"230,9","0,67","2,18","4,16",27600,99,"667,9","33,85","0,59","65,56",3,"8,25","10,62",9,296,695,"51,165691","10,451526"
GHA,Ghana,SUB-SAHARANAFRICA,22409572,239460,"93,6","0,23","-0,64","51,43",2200,"74,8","14,4","16,26","9,67","74,07",2,"30,52","9,72",366,246,387,"7,946527","-1,023194"
GIB,Gibraltar,WESTERNEUROPE,27928,7,"3989,7","171,43",0,"5,13",17500,,"877,7",0,0,100,,"10,74","9,31",,,,"36,137741","-5,345374"
GRC,Greece,WESTERNEUROPE,10688058,131940,81,"10,37","2,35","5,53",20000,"97,5","589,7","21,1","8,78","70,12",3,"9,68","10,24",54,213,733,"39,074208","21,824312"
GRL,Greenland,NORTHERNAMERICA,56361,2166086,0,"2,04","-8,37","15,82",20000,,"448,9",0,0,100,1,"15,93","7,84",,,,"71,706936","-42,604303"
GRD,Grenada,LATINAMER.&CARIB,89703,344,"260,8","35,17","-13,92","14,62",5000,98,"364,5","5,88","29,41","64,71",2,"22,08","6,88",54,"0,18",766,"12,262776","-61,604171"
GLP,Guadeloupe,LATINAMER.&CARIB,452776,1780,"254,4","17,19","-0,15","8,6",8000,90,"463,8","11,24","3,55","85,21",2,"15,05","6,09","0,15","0,17","0,68","16,995971","-62,067641"
GUM,Guam,OCEANIA,171019,541,"316,1","23,2",0,"6,94",21000,99,492,"9,09","16,36","74,55",2,"18,79","4,48",,,,"13,444304","144,793731"
GTM,Guatemala,LATINAMER.&CARIB,12293545,108890,"112,9","0,37","-1,67","35,93",4100,"70,6","92,1","12,54","5,03","82,43",2,"29,88","5,2",227,188,585,"15,783471","-90,230759"
GGY,Guernsey,WESTERNEUROPE,65409,78,"838,6","64,1","3,84","4,71",20000,,"842,4",,,,3,"8,81","10,01","0,03","0,1","0,87","49,465691","-2,585278"
GIN,Guinea,SUB-SAHARANAFRICA,9690222,245857,"39,4","0,13","-3,06","90,37",2100,"35,9","2,7","3,63","2,58","93,79",2,"41,76","15,48",237,362,401,"9,945587","-9,696645"
GNB,Guinea-Bissau,SUB-SAHARANAFRICA,1442029,36120,"39,9","0,97","-1,57","107,17",800,"42,4","7,4","10,67","8,82","80,51",2,"37,22","16,53","0,62","0,12","0,26","11,803749","-15,180413"
